City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Balsas,BR,-7.5325,-46.0356,75.09,89,61,2.42,broken clouds
325,Flin Flon,CA,54.7682,-101.865,34.95,82,98,3.53,overcast clouds
326,Panambi,BR,-28.2925,-53.5017,68.63,91,100,9.78,overcast clouds
327,Sao Joao Dos Patos,BR,-6.495,-43.7022,72.28,92,89,0.67,overcast clouds
328,Elk River,US,45.3038,-93.5672,53.78,74,8,5.99,clear sky
329,Talcahuano,CL,-36.7167,-73.1167,53.28,87,20,8.05,few clouds
330,Adelanto,US,34.5828,-117.4092,67.82,39,3,5.08,clear sky
331,Cabo Rojo,PR,18.0866,-67.1457,80.78,85,14,1.99,few clouds
332,Santa Pola,ES,38.1917,-0.5658,54.93,80,20,8.05,few clouds
333,Quevedo,EC,-1.0333,-79.45,75.33,73,98,6.42,overcast clouds
334,Kumasi,GH,6.6885,-1.6244,71.11,98,100,2.46,overcast clouds
335,Fonte Boa,BR,-2.4959,-66.2662,72.79,97,28,1.74,scattered clouds
336,Freeport,US,40.6576,-73.5832,49.96,67,1,0.0,clear sky
337,Avera,US,33.194,-82.5271,48.88,54,100,10.42,overcast clouds
338,Iracoubo,GF,5.4802,-53.2011,77.31,91,86,7.49,overcast clouds
339,Charlestown,AU,-32.95,151.6667,79.93,66,44,5.01,scattered clouds
340,Catamarca,AR,-28.4696,-65.7852,57.78,61,91,2.62,overcast clouds
