City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
367,Nanakuli,US,21.3906,-158.1547,84.15,61,90,8.05
368,Mount Gambier,AU,-37.8333,140.7667,58.91,51,40,21.85
369,Ketchikan,US,55.3422,-131.6461,39.67,87,40,3.44
370,Islamkot,PK,24.6997,70.177,76.03,30,0,8.5
371,Baykit,RU,61.67,96.37,16.79,94,100,3.69
372,Verkhnevilyuysk,RU,63.4453,120.3167,21.42,79,100,10.58
373,San Cristobal,VE,7.7669,-72.225,73.58,98,98,3.56
374,Chuy,UY,-33.6971,-53.4616,63.55,88,0,9.01
375,Dargaville,NZ,-35.9333,173.8833,65.32,68,9,12.66
376,Voznesenye,RU,61.0106,35.4781,41.58,88,100,13.91
377,Tura,IN,25.5198,90.2201,73.04,79,2,3.44
378,Henties Bay,NA,-22.116,14.2845,59.86,93,6,6.4
379,Kashi,CN,39.4547,75.9797,51.01,37,75,2.24
380,Kupang,ID,-10.1667,123.5833,88.9,59,96,3.89
381,Touros,BR,-5.1989,-35.4608,77.9,76,73,14.14
382,Ulaangom,MN,49.9811,92.0667,36.59,46,0,3.38
383,Bubaque,GW,11.2833,-15.8333,79.83,80,68,15.39
384,Lashio,MM,22.9333,97.75,69.46,89,42,0.81
385,Newport,GB,51.5877,-2.9984,58.77,94,100,33.06
386,Newark,US,40.7357,-74.1724,56.28,75,40,1.99
387,Yablonovo,RU,50.8523,37.3574,42.66,92,58,7.56
388,Luderitz,NA,-26.6481,15.1594,56.34,86,0,5.86
389,Aykhal,RU,66.0,111.5,1.45,97,100,11.48
390,Serta,PT,39.8085,-8.0988,62.01,96,100,5.3
391,Coos Bay,US,43.3665,-124.2179,64.31,97,90,5.75
392,Yei,SS,4.095,30.6779,65.89,92,42,3.06
393,Mazamitla,MX,19.9167,-103.0333,55.0,85,7,0.72
394,Leo,BF,11.1,-2.1,75.02,79,9,3.91
395,Puerto Carreno,CO,6.189,-67.4859,74.59,90,99,2.75
396,Fangshan,CN,39.6983,115.9925,53.46,39,0,2.73
397,Dzhebariki-Khaya,RU,62.2167,135.8,20.34,90,99,6.49
398,Illapel,CL,-31.6308,-71.1653,67.89,58,87,1.99
399,Rebrikha,RU,53.0733,82.3408,33.98,78,100,12.06
400,Bandarbeyla,SO,9.4942,50.8122,74.55,75,2,2.89
401,Hede,CN,33.7681,120.2517,64.99,53,0,3.56
402,Brigantine,US,39.4101,-74.3646,58.01,86,90,8.05
403,Haines Junction,CA,60.7522,-137.5108,33.75,60,100,5.75
404,Nicoya,CR,10.1483,-85.452,78.35,92,99,1.52
405,Atar,MR,20.5169,-13.0499,79.27,35,100,5.5
406,Clyde River,CA,70.4692,-68.5914,28.02,95,97,6.78
